id,title,kind_id,production_year,Rating,Action,Adult,Adventure,Animation,Biography,Comedy,Commercial,Crime,Documentary,Drama,Erotica,Experimental,Family,Fantasy,Film-Noir,Game-Show,Hardcore,History,Horror,Lifestyle,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sex,Short,Sport,Talk-Show,Thriller,War,Western,Budget,currency,votes,RatingN,votesN,gsgross,gs_currency,gs_country
3790657,The Shawshank Redemption,1,1994,9.3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000,$,1715462,9.3,1715462,-1,-1,-1
3715851,The Dark Knight,1,2008,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,185000000,$,1701865,9,1701865,-1,-1,-1
3182606,Inception,1,2010,8.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,160000000,$,1492434,8.8,1492434,-1,-1,-1
3048945,Fight Club,1,1999,8.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000000,$,1369010,8.8,1369010,-1,-1,-1
3518624,Pulp Fiction,1,1994,8.9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000000,$,1344044,8.9,1344044,35615000,$,USA
3063965,Forrest Gump,1,1994,8.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000000,$,1273570,8.8,1273570,156000000,$,USA
3756167,The Lord of the Rings: The Fellowship of the Ring,1,2001,8.8,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000000,$,1255524,8.8,1255524,150000000,$,USA
3756167,The Lord of the Rings: The Fellowship of the Ring,1,2001,8.8,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000000,$,1255524,8.8,1255524,500000000,$,Worldwide
3762164,The Matrix,1,1999,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63000000,$,1235619,8.7,1235619,102720000,$,USA
3762164,The Matrix,1,1999,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63000000,$,1235619,8.7,1235619,57410000,$,USA
3756170,The Lord of the Rings: The Return of the King,1,2003,8.9,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94000000,$,1232794,8.9,1232794,-1,-1,-1
3734239,The Godfather,1,1972,9.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,$,1172519,9.2,1172519,86691000,$,USA
3734239,The Godfather,1,1972,9.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,$,1172519,9.2,1172519,81500000,$,USA
3734239,The Godfather,1,1972,9.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,$,1172519,9.2,1172519,4200000,$,USA
3734239,The Godfather,1,1972,9.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,$,1172519,9.2,1172519,156736000,$,Worldwide
3715863,The Dark Knight Rises,1,2012,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250000000,$,1162000,8.5,1162000,-1,-1,-1
3756173,The Lord of the Rings: The Two Towers,1,2002,8.7,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94000000,$,1116250,8.7,1116250,-1,-1,-1
3584757,Se7en,1,1995,8.6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,33000000,$,1040805,8.6,1040805,43100000,$,USA
3695603,The Avengers,1,2012,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,220000000,$,1010323,8.1,1010323,-1,-1,-1
3093229,Gladiator,1,2000,8.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103000000,$,997445,8.5,997445,-1,-1,-1
2805709,Batman Begins,1,2005,8.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000000,$,996380,8.3,996380,-1,-1,-1
2975564,Django Unchained,1,2012,8.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100000000,$,973012,8.5,973012,-1,-1,-1
3189684,Interstellar,1,2014,8.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,165000000,$,953474,8.6,953474,-1,-1,-1
